cur_id,language,sentence,word,complexity
103,english,"For though the fig tree doesn't flourish, nor fruit be in the vines; the labor of the olive fails, the fields yield no food; the flocks are cut off from the fold, and there is no herd in the stalls:",fruit,0.25
104,english,"In seven days, I will cause it to rain on the earth for forty days and forty nights.",nights,0.0499999999999999
105,english,"You shall take of the blood of the bull, and put it on the horns of the altar with your finger; and you shall pour out all the blood at the base of the altar.",finger,0.0499999999999999
106,english,"It happened after these things, that his master's wife cast her eyes on Joseph; and she said, ""Lie with me.""",eyes,0.0499999999999999
107,english,"Furthermore you have sent for men who come from far, to whom a messenger was sent, and behold, they came; for whom you did wash yourself, paint your eyes, and decorate yourself with ornaments,",eyes,0.25
108,english,"The children of Israel gave to the Levites out of their inheritance, according to the commandment of Yahweh, these cities with their suburbs.",Israel,0.3
109,english,"For because of the hope of Israel I am bound with this chain.""",Israel,0.3088235294117647
110,english,"He said to them, ""It is written, 'My house shall be called a house of prayer,' but you have made it a den of robbers!""",prayer,0.0555555555555555
111,english,Listen to my prayer.,prayer,0.1666666666666666
112,english,"You who hear prayer, to you all men will come.",prayer,0.1805555555555555
113,english,"We know that we are of God, and the whole world lies in the power of the evil one.",power,0.0555555555555555
114,english,"But this is your hour, and the power of darkness.""",power,0.25
115,english,"Now the cities of the tribe of the children of Benjamin according to their families were Jericho, Beth Hoglah, Emek Keziz,",Benjamin,0.0555555555555555
116,english,"At the east side four thousand and five hundred [reeds], and three gates: even the gate of Joseph, one; the gate of Benjamin, one; the gate of Dan, one.",Benjamin,0.2666666666666667
117,english,"The men of Israel turned, and the men of Benjamin were dismayed; for they saw that evil had come on them.",Benjamin,0.3125
118,english,"Samuel arose, and went from Gilgal to Gibeah of Benjamin.",Benjamin,0.3194444444444444
119,english,"So they passed on and went their way; and the sun went down on them near to Gibeah, which belongs to Benjamin.",Benjamin,0.3382352941176471
120,english,that the blessing of Abraham might come on the Gentiles through Christ Jesus; that we might receive the promise of the Spirit through faith.,blessing,0.0555555555555555
121,english,"Yahweh's blessing brings wealth, and he adds no trouble to it.",blessing,0.171875
122,english,"The throne of God and of the Lamb will be in it, and his servants serve him.",throne,0.0555555555555555
123,english,"I saw, and I heard something like a voice of many angels around the throne, the living creatures, and the elders; and the number of them was ten thousands of ten thousands, and thousands of thousands;",throne,0.1447368421052631
124,english,"There was a rainbow around the throne, like an emerald to look at.",throne,0.1785714285714285
125,english,"It is an abomination for kings to do wrong, for the throne is established by righteousness.",throne,0.203125
126,english,Joash slept with his fathers; and Jeroboam sat on his throne: and Joash was buried in Samaria with the kings of Israel.,throne,0.2333333333333333
127,english,"Open the gates, that the righteous nation may enter: the one which keeps faith.",faith,0.0555555555555555
128,english,"For he was a good man, and full of the Holy Spirit and of faith, and many people were added to the Lord.",faith,0.1607142857142857
129,english,"night and day praying exceedingly that we may see your face, and may perfect that which is lacking in your faith?",faith,0.1875
130,english,"to another faith, by the same Spirit; and to another gifts of healings, by the same Spirit;",faith,0.2083333333333333
131,english,"Jesus answered them, ""Most certainly I tell you, if you have faith, and don't doubt, you will not only do what was done to the fig tree, but even if you told this mountain, 'Be taken up and cast into the sea,' it would be done.",faith,0.25
132,english,and what place shall be my rest?,rest,0.0999999999999999
133,english,"The other Jews who were in the king's provinces gathered themselves together, defended their lives, had rest from their enemies, and killed seventy-five thousand of those who hated them; but they didn't lay their hand on the plunder.",rest,0.1785714285714285
134,english,"The rest of the acts of Abijam, and all that he did, aren't they written in the book of the chronicles of the kings of Judah?",rest,0.25
135,english,"The king loved Esther more than all the women, and she obtained favor and kindness in his sight more than all the virgins; so that he set the royal crown on her head, and made her queen instead of Vashti.",crown,0.0588235294117647
136,english,"neither shall he go out of the sanctuary, nor profane the sanctuary of his God; for the crown of the anointing oil of his God is upon him.",crown,0.125
137,english,"which has come to you; even as it is in all the world and is bearing fruit and growing, as it does in you also, since the day you heard and knew the grace of God in truth;",truth,0.0694444444444444
138,english,"Yahweh is near to all those who call on him, to all who call on him in truth.",truth,0.2166666666666666
139,english,"constant friction of people of corrupt minds and destitute of the truth, who suppose that godliness is a means of gain.",truth,0.21875
140,english,"and with all deception of wickedness for those who are being lost, because they didn't receive the love of the truth, that they might be saved.",truth,0.2205882352941176
141,english,"Surely the mountains produce food for him, where all the animals of the field play.",play,0.0714285714285714
142,english,"The next day, he saw Jesus coming to him, and said, ""Behold, the Lamb of God, who takes away the sin of the world!",world,0.140625
143,english,Then the nations set against him on every side from the provinces; and they spread their net over him; he was taken in their pit.,side,0.075
144,english,"From there they traveled, and encamped on the other side of the Arnon, which is in the wilderness, that comes out of the border of the Amorites: for the Arnon is the border of Moab, between Moab and the Amorites.",side,0.1617647058823529
145,english,"and you shall offer for the drink offering half a hin of wine, for an offering made by fire, of a pleasant aroma to Yahweh.",drink,0.075
146,english,"Behold, I will rebuke your seed, and will spread dung on your faces, even the dung of your feasts; and you will be taken away with it.",faces,0.075
147,english,"Outside of the veil of the Testimony, in the Tent of Meeting, shall Aaron keep it in order from evening to morning before Yahweh continually: it shall be a statute forever throughout your generations.",order,0.1911764705882352
148,english,"for I will promote you to very great honor, and whatever you say to me I will do.",honor,0.075
149,english,"But God composed the body together, giving more abundant honor to the inferior part,",honor,0.234375
150,english,Before honor is humility.,honor,0.25
151,english,"There will be a pavilion for a shade in the daytime from the heat, and for a refuge and for a shelter from storm and from rain.",refuge,0.075
152,english,"Show your marvelous loving kindness, you who save those who take refuge by your right hand from their enemies.",refuge,0.2833333333333333
153,english,"May Yahweh repay your work, and a full reward be given you from Yahweh, the God of Israel, under whose wings you have come to take refuge.""",refuge,0.2894736842105263
154,english,They shall be to you for a refuge from the avenger of blood.,refuge,0.34375
155,english,"Then he measured the breadth from the forefront of the lower gate to the forefront of the inner court outside, one hundred cubits, [both] on the east and on the north.",north,0.075
156,english,"behold, I will send and take all the families of the north, says Yahweh, and I will send to Nebuchadnezzar the king of Babylon, my servant, and will bring them against this land, and against its inhabitants, and against all these nations around; and I will utterly destroy them, and make them an astonishment, and a hissing, and perpetual desolations.",north,0.2205882352941176
157,english,"The great city was divided into three parts, and the cities of the nations fell.",parts,0.075
158,english,"Don't eat it raw, nor boiled at all with water, but roasted with fire; with its head, its legs and its inner parts.",parts,0.125
159,english,"It stood on twelve oxen, three looking toward the north, and three looking toward the west, and three looking toward the south, and three looking toward the east: and the sea was set on them above, and all their hinder parts were inward.",parts,0.125
160,english,"He put the meat in a basket and he put the broth in a pot, and brought it out to him under the oak, and presented it.",basket,0.075
161,english,His hands were freed from the basket.,basket,0.1666666666666666
162,english,"The Jews therefore murmured concerning him, because he said, ""I am the bread which came down out of heaven.""",bread,0.075
163,english,"Seven days you shall eat unleavened bread, as I commanded you, at the time appointed in the month Abib; for in the month Abib you came out from Egypt.",bread,0.0961538461538461
164,english,"Say, 'Thus says the king, ""Put this fellow in the prison, and feed him with bread of affliction and with water of affliction, until I come in peace.""'""",bread,0.1428571428571428
165,english,"You fasted and wept for the child while he was alive; but when the child was dead, you rose up and ate bread.""",bread,0.2352941176470588
166,english,"Now those who are that way, we command and exhort in the Lord Jesus Christ, that with quietness they work, and eat their own bread.",bread,0.2361111111111111
167,english,"Laban said to Jacob, ""Because you are my brother, should you therefore serve me for nothing?",brother,0.075
168,english,"It happened after these things, that it was told Abraham, saying, ""Behold, Milcah, she also has borne children to your brother Nahor:",brother,0.15
169,english,But let the brother in humble circumstances glory in his high position;,brother,0.1875
170,english,"It was that Mary who had anointed the Lord with ointment, and wiped his feet with her hair, whose brother, Lazarus, was sick.",brother,0.2058823529411764
171,english,"While they went away to buy, the bridegroom came, and those who were ready went in with him to the marriage feast, and the door was shut.",feast,0.075
172,english,"Then he came to Jerusalem, and stood before the ark of the covenant of Yahweh, and offered up burnt offerings, offered peace offerings, and made a feast to all his servants.",feast,0.125
173,english,"Now when he was in Jerusalem at the Passover, during the feast, many believed in his name, observing his signs which he did.",feast,0.265625
174,english,"But when you make a feast, ask the poor, the maimed, the lame, or the blind;",feast,0.2794117647058823
175,english,"I will yet again make you dwell in tents, as in the days of the solemn feast.",feast,0.3194444444444444
176,english,"Shaharaim became the father of children in the field of Moab, after he had sent them away; Hushim and Baara were his wives.",children,0.075
177,english,"As for my people, children are their oppressors, and women rule over them.",children,0.2
178,english,The children of the half-tribe of Manasseh lived in the land: they increased from Bashan to Baal Hermon and Senir and Mount Hermon.,children,0.2352941176470588
179,english,"Brothers, don't be children in thoughts, yet in malice be babies, but in thoughts be mature.",children,0.3088235294117647
180,english,"and by the borders of the children of Manasseh, Beth Shean and its towns, Taanach and its towns, Megiddo and its towns, Dor and its towns.",children,0.35
181,english,"Yahweh's curse is in the house of the wicked, but he blesses the habitation of the righteous.",curse,0.075
182,english,"For I have sworn by myself, says Yahweh, that Bozrah shall become an astonishment, a reproach, a waste, and a curse; and all its cities shall be perpetual wastes.",curse,0.0999999999999999
183,english,"Like a fluttering sparrow, like a darting swallow, so the undeserved curse doesn't come to rest.",curse,0.25
184,english,"Then Abishai the son of Zeruiah said to the king, ""Why should this dead dog curse my lord the king?",curse,0.34375
185,english,"There will be weeping and gnashing of teeth, when you see Abraham, Isaac, Jacob, and all the prophets, in the Kingdom of God, and yourselves being thrown outside.",Kingdom,0.075
186,english,"He said, ""The Kingdom of God is as if a man should cast seed on the earth,",Kingdom,0.2386363636363636
187,english,but the children of the Kingdom will be thrown out into the outer darkness.,Kingdom,0.2647058823529411
188,english,"He said to them, ""Therefore every scribe who has been made a disciple in the Kingdom of Heaven is like a man who is a householder, who brings out of his treasure new and old things.""",Kingdom,0.3055555555555556
189,english,"to the end that you should walk worthily of God, who calls you into his own Kingdom and glory.",Kingdom,0.3194444444444444
190,english,"making void the word of God by your tradition, which you have handed down.",tradition,0.075
191,english,"However, I wouldn't have known sin, except through the law.",sin,0.075
192,english,"Those who sin, reprove in the sight of all, that the rest also may be in fear.",sin,0.1428571428571428
193,english,"What is my sin, that you have hotly pursued after me?",sin,0.1923076923076923
194,english,"He kneeled down, and cried with a loud voice, ""Lord, don't hold this sin against them!""",sin,0.2058823529411764
195,english,"if my people, who are called by my name, shall humble themselves, and pray, and seek my face, and turn from their wicked ways; then will I hear from heaven, and will forgive their sin, and will heal their land.",sin,0.238095238095238
196,english,"There will arise after them seven years of famine, and all the plenty will be forgotten in the land of Egypt.",years,0.075
197,english,"All the days that Adam lived were nine hundred thirty years, then he died.",years,0.1388888888888889
198,english,"and shall I be inquired of by you, house of Israel?",house,0.075
199,english,His sons went and held a feast in the house of each one on his birthday; and they sent and called for their three sisters to eat and to drink with them.,house,0.1176470588235294
200,english,"When once the master of the house has risen up, and has shut the door, and you begin to stand outside, and to knock at the door, saying, 'Lord, Lord, open to us!'",house,0.2368421052631579
201,english,"Then Darius the king made a decree, and search was made in the house of the archives, where the treasures were laid up in Babylon.",house,0.2884615384615384
202,english,"The wings of these cherubim spread themselves forth twenty cubits: and they stood on their feet, and their faces were toward the house.",house,0.2894736842105263
203,english,"the fifteenth to Bilgah, the sixteenth to Immer,",sixteenth,0.075
204,english,Joy comes to a man with the reply of his mouth.,reply,0.075
205,english,"Yahweh said in his heart, ""I will not again curse the ground any more for man's sake, because the imagination of man's heart is evil from his youth; neither will I ever again strike everything living, as I have done.",everything,0.1666666666666666
206,english,"The king said to his servants, ""Don't you know that there a prince and a great man has fallen this day in Israel?",servants,0.075
207,english,"Moses called to all Israel, and said to them, You have seen all that Yahweh did before your eyes in the land of Egypt to Pharaoh, and to all his servants, and to all his land;",servants,0.1764705882352941
208,english,"Haman recounted to them the glory of his riches, the multitude of his children, all the things in which the king had promoted him, and how he had advanced him above the princes and servants of the king.",servants,0.1764705882352941
209,english,"Therefore his servants said to him, ""Let there be sought for my lord the king a young virgin.",servants,0.2166666666666666
210,english,"One of the king of Israel's servants answered, ""Elisha the son of Shaphat is here, who poured water on the hands of Elijah.""",servants,0.234375
211,english,"May Yahweh bless you out of Zion, and may you see the good of Jerusalem all the days of your life.",life,0.078125
212,english,"(yes, I have not allowed my mouth to sin by asking his life with a curse);",life,0.140625
213,english,"When Christ, our life, is revealed, then you will also be revealed with him in glory.",life,0.2307692307692307
214,english,"You will be handed over even by parents, brothers, relatives, and friends.",parents,0.078125
215,english,Indeed all the nations may walk in the name of their gods; but we will walk in the name of Yahweh our God forever and ever.,gods,0.0833333333333333
216,english,"concerning his Son, who was born of the seed of David according to the flesh,",Son,0.0833333333333333
217,english,"It happened about three months later, that it was told Judah, saying, ""Tamar, your daughter-in-law, has played the prostitute; and moreover, behold, she is with child by prostitution.""",prostitute,0.0833333333333333
218,english,"Therefore, prostitute, hear the word of Yahweh:",prostitute,0.1785714285714285
219,english,"You shall not bring the hire of a prostitute, or the wages of a dog, into the house of Yahweh your God for any vow: for even both these are an abomination to Yahweh your God.",prostitute,0.234375
220,english,"When David was a little past the top, behold, Ziba the servant of Mephibosheth met him, with a couple of donkeys saddled, and on them two hundred loaves of bread, and one hundred clusters of raisins, and one hundred summer fruits, and a bottle of wine.",David,0.275
221,english,"Now therefore, may Yahweh, the God of Israel, keep with your servant David my father that which you have promised him, saying, 'There shall not fail you a man in my sight to sit on the throne of Israel, if only your children take heed to their way, to walk before me as you have walked before me.'",David,0.296875
222,english,About four hundred men followed David; and two hundred stayed by the baggage.,David,0.4166666666666666
223,english,"When he sees a troop, horsemen in pairs, a troop of donkeys, a troop of camels, he shall listen diligently with great attentiveness.""",pairs,0.2261904761904761
224,english,"Did I choose him out of all the tribes of Israel to be my priest, to go up to my altar, to burn incense, to wear an ephod before me?",priest,0.0833333333333333
225,english,"For the waved breast and the heaved thigh I have taken from the children of Israel out of the sacrifices of their peace offerings, and have given them to Aaron the priest and to his sons as their portion forever from the children of Israel.'""",priest,0.1333333333333333
226,english,"Zedekiah the king sent Jehucal the son of Shelemiah, and Zephaniah the son of Maaseiah, the priest, to the prophet Jeremiah, saying, Pray now to Yahweh our God for us.",priest,0.2142857142857143
227,english,"He has violently taken away his tabernacle, as if it were of a garden; he has destroyed his place of assembly: Yahweh has caused solemn assembly and Sabbath to be forgotten in Zion, Has despised in the indignation of his anger the king and the priest.",priest,0.2205882352941176
228,english,"The priest shall take from the meal offering its memorial, and shall burn it on the altar, an offering made by fire, of a pleasant aroma to Yahweh.",priest,0.2647058823529411
229,english,"Whoever gives one of these little ones just a cup of cold water to drink in the name of a disciple, most certainly I tell you he will in no way lose his reward.""",reward,0.0833333333333333
230,english,"Now this man obtained a field with the reward for his wickedness, and falling headlong, his body burst open, and all his intestines gushed out.",reward,0.1710526315789473
231,english,"Most certainly, I tell you, they have received their reward.",reward,0.1710526315789473
232,english,"Or who gave you this authority to do these things?""",things,0.0892857142857143
233,english,"If any man thinks himself to be a prophet, or spiritual, let him recognize the things which I write to you, that they are the commandment of the Lord.",things,0.1388888888888889
234,english,"Say now to the rebellious house, Don't you know what these things mean?",things,0.1666666666666666
235,english,"Even saying these things, they hardly stopped the multitudes from making a sacrifice to them.",things,0.2352941176470588
236,english,"but Herod the tetrarch, being reproved by him for Herodias, his brother's wife, and for all the evil things which Herod had done,",things,0.3076923076923077
237,english,"Behold, the glory of the God of Israel came from the way of the east: and his voice was like the sound of many waters; and the earth shined with his glory.",sound,0.0892857142857143
238,english,"Does the trumpet alarm sound in a city, without the people being afraid?",sound,0.15625
239,english,"it happened, when the trumpeters and singers were as one, to make one sound to be heard in praising and thanking Yahweh; and when they lifted up their voice with the trumpets and cymbals and instruments of music, and praised Yahweh, saying, ""For he is good; for his loving kindness endures forever!""",sound,0.265625
240,english,"You have received gifts among men, yes, among the rebellious also, that Yah God might dwell there.",gifts,0.0892857142857143
241,english,"and I polluted them in their own gifts, in that they caused to pass through [the fire] all that opens the womb, that I might make them desolate, to the end that they might know that I am Yahweh.",gifts,0.1607142857142857
